0,1,2
0.0,0.0,0.0
6.061094566479278e-59,1.0026248352150496e-05,4.68063602573133e-06
1.4993492785075706e-53,1.2663140527475623e-05,5.911638099318365e-06
2.1369203058255928e-50,1.4515370742349534e-05,6.776329972807355e-06
3.687989592380964e-48,1.5990850526282352e-05,7.4651403422844836e-06
2.0016575282229597e-46,1.7237196934464563e-05,8.046982492387144e-06
5.226492295003689e-45,1.8326749299916185e-05,8.555627189240261e-06
8.236337958193093e-44,1.93010109280883e-05,9.010449762464468e-06
8.969057167477251e-43,2.0186268186501086e-05,9.42372169332366e-06
7.364886510849139e-42,2.100034758999982e-05,9.803765080440117e-06
4.840408294052835e-41,2.1755961789993657e-05,1.0156514675485477e-05
2.6568125525080358e-40,2.2462533420780195e-05,1.048636932436916e-05
1.2567174730457218e-39,2.312726367246725e-05,1.0796690817928867e-05
5.2464635666360214e-39,2.375579471206396e-05,1.1090113135419707e-05
1.9692307749620315e-38,2.435263941545289e-05,1.1368743059827073e-05
6.743851126818959e-38,2.492147077494939e-05,1.1634295284379138e-05
2.1322806445078695e-37,2.5465323015192177e-05,1.1888186301133085e-05
6.285110760356317e-37,2.598673513497074e-05,1.2131601411787614e-05
1.7409999084849326e-36,2.6487855741598556e-05,1.236554366837608e-05
4.562691621926738e-36,2.6970521165714223e-05,1.2590870340241945e-05
1.1377577502382677e-35,2.7436314701245267e-05,1.2808320569518557e-05
2.7126441501516606e-35,2.7886612238184697e-05,1.3018536674253755e-05
6.209603030986831e-35,2.832261790690026e-05,1.3222080788536085e-05
1.369728511338181e-34,2.8745392270897802e-05,1.3419448023954516e-05
2.9206242921910712e-34,2.915587487920543e-05,1.3611076997913529e-05
6.036571613993054e-34,2.9554902492790676e-05,1.3797358342421429e-05
1.212382943366495e-33,2.994322395319803e-05,1.3978641645338757e-05
2.371183659800501e-33,3.0321512416283975e-05,1.4155241161553496e-05
4.524857300873404e-33,3.069037549749308e-05,1.4327440549183793e-05
8.439350257228599e-33,3.105036374646839e-05,1.4495496825850067e-05
1.540818075476291e-32,3.140197777378907e-05,1.465964369570859e-05
2.757651901121834e-32,3.174567428165694e-05,1.4820094364806503e-05
4.8442089924333217e-32,3.208187119675558e-05,1.4977043937296686e-05
8.361814256181761e-32,3.241095206262584e-05,1.5130671465966554e-05
1.4197979970001496e-31,3.273326981742556e-05,1.5281141715840707e-05
2.3736445023416736e-31,3.3049150058498296e-05,1.542860668820643e-05
3.9106368535742466e-31,3.335889387603804e-05,1.55732069434767e-05
6.354339442169372e-31,3.366278032303675e-05,1.571507275425612e-05
1.019072247061418e-30,3.396106857670571e-05,1.5854325114375042e-05
1.6141605544948822e-30,3.425399983696254e-05,1.599107662517588e-05
2.5267878303144695e-30,3.4541798999850095e-05,1.6125432276729026e-05
3.9113256692788374e-30,3.482467613749479e-05,1.6257490138733962e-05
5.990277157135785e-30,3.510282781111517e-05,1.6387341973481878e-05
9.081458693576655e-30,3.537643823941767e-05,1.6515073781307463e-05
1.3634934153683735e-29,3.564568034128028e-05,1.66407662873535e-05
2.0282828126595395e-29,3.5910716668784234e-05,1.676449537714574e-05
2.9906033827346176e-29,3.6171700244291944e-05,1.6886332487372873e-05
4.3722941985004664e-29,3.6428775313299765e-05,1.7006344957346978e-05
6.340669757052368e-29,3.668207802314251e-05,1.712459634584874e-05
9.123919849813074e-29,3.69317370362371e-05,1.724114671741304e-05
1.3031215148511572e-28,3.717787408537979e-05,1.7356052901562902e-05
1.8478807389760916e-28,3.742060447761587e-05,1.7469368728035164e-05
2.602372689072597e-28,3.766003755235504e-05,1.7581145240646228e-05
3.640706122607554e-28,3.7896277098683006e-05,1.7691430892109063e-05
5.060925975372337e-28,3.812942173620137e-05,1.7800271721823843e-05
6.992046379107807e-28,3.835956526319673e-05,1.7907711518416583e-05
9.6029528359645e-28,3.858679697548222e-05,1.801379196858656e-05
1.311361978166199e-27,3.881120195885878e-05,1.8118552793638404e-05
1.780918465175424e-27,3.903286135780191e-05,1.8222031874915365e-05
2.4057532225370125e-27,3.925185262268106e-05,1.8324265369210763e-05
3.233117635269961e-27,3.94682497375602e-05,1.8425287815114004e-05
4.323438347287375e-27,3.9682123430402e-05,1.8525132231141943e-05
5.753666734254232e-27,3.989354136729964e-05,1.8623830206413684e-05
7.621400136623651e-27,4.0102568332187264e-05,1.8721411984546324e-05
1.0049934864536662e-26,4.030926639332682e-05,1.8817906541377355e-05
1.3194440575557684e-26,4.0513695057735213e-05,1.8913341657057172e-05
1.7249480041349216e-26,4.07159114145966e-05,1.900774398299941e-05
2.2458138244508017e-26,4.091597026860003e-05,1.910113910412806e-05
2.9123070948688583e-26,4.111392426404926e-05,1.9193551596816648e-05
3.761983622152675e-26,4.130982400050937e-05,1.928500508287655e-05
4.841293381833731e-26,4.1503718140681123e-05,1.93755222799168e-05
6.207504792208325e-26,4.1695653511128614e-05,1.9465125048367664e-05
7.931006966855615e-26,4.188567519642732e-05,1.955383443543252e-05
1.0098056848285668e-25,4.2073826627247584e-05,1.9641670716208603e-05
1.2814048697466722e-25,4.2260149662841485e-05,1.9728653432195025e-05
1.620739546018711e-25,4.244468466835934e-05,1.981480142738708e-05
2.0434125230029101e-25,4.262747058738444e-05,1.9900132882138228e-05
2.568331157613825e-25,4.280854501004045e-05,1.998466534495523e-05
3.2183474118874965e-25,4.298794423699562e-05,2.0068415762377778e-05
4.021010565638569e-25,4.316570333966017e-05,2.0151400507080907e-05
5.009450463206781e-25,4.3341856216848775e-05,2.0233635404327228e-05
6.2234117074078235e-25,4.351643564815675e-05,2.0315135756884976e-05
7.710462064795318e-25,4.368947334427899e-05,2.0395916368518797e-05
9.527401548606801e-25,4.386099999448167e-05,2.0475991566151368e-05
1.174190223686983e-24,4.403104531142018e-05,2.0555375220786115e-05
1.4434412904058808e-24,4.4199638073481355e-05,2.063408076727418e-05
1.770036704005904e-24,4.436680616481395e-05,2.0712121223002195e-05
2.165273784857062e-24,4.453257661319964e-05,2.0789509205571894e-05
2.6424989411266847e-24,4.4696975625903464e-05,2.0866256949536477e-05
3.21744794312851e-24,4.486002862363413e-05,2.0942376322254585e-05
3.908637589211861e-24,4.5021760272733225e-05,2.101787883891744e-05
4.73781576529577e-24,4.5182194515704707e-05,2.1092775676801193e-05
5.730477752181721e-24,4.534135460018747e-05,2.1167077688792413e-05
6.91645757820497e-24,4.549926310646602e-05,2.124079541623114e-05
8.330604258101763e-24,4.5655941973608675e-05,2.131393910111317e-05
1.001355391134282e-23,4.581141252431467e-05,2.138651869768966e-05
1.2012610024481427e-23,4.59656954885476e-05,2.1458543883500103e-05
1.4382745522916193e-23,4.6118811026026286e-05,2.153002406987193e-05
1.7187741859301544e-23,4.627077874763899e-05,2.1600968411917494e-05
2.0501482020932882e-23,4.642161773584385e-05,2.1671385818057756e-05
2.4409416219973837e-23,4.6571346564112435e-05,2.1741284959099297e-05
2.9010221072509774e-23,4.671998331547091e-05,2.1810674276890025e-05
3.441767531026587e-23,4.686754560018908e-05,2.1879561992577117e-05
4.0762777518628404e-23,4.701405057266418e-05,2.1947956114488992e-05
4.819613407372571e-23,4.715951494754404e-05,2.201586444566225e-05
5.68906483782814e-23,4.7303955015130255e-05,2.2083294591032437e-05
6.704454569059458e-23,4.7447386656100565e-05,2.2150253964307026e-05
7.888477132443577e-23,4.758982535558636e-05,2.221674979453734e-05
9.267080379245553e-23,4.773128621663938e-05,2.2282789132405296e-05
1.0869892859587906e-22,4.787178397311954e-05,2.2348378856239976e-05
1.2730702285440468e-22,4.8011333002033986e-05,2.2413525677777932e-05
1.4887990584956643e-22,4.814994733535508e-05,2.2478236147680296e-05
1.7385531585127542e-22,4.828764067134437e-05,2.254251666081923e-05
2.0273057934158059e-22,4.8424426385406924e-05,2.2606373461345145e-05
2.360700449745797e-22,4.85603175404999e-05,2.2669812647545833e-05
2.745133613514305e-22,4.8695326897117e-05,2.2732840176507578e-05
3.1878468498136716e-22,4.882946692287001e-05,2.2795461868588183e-05
3.69702912682418e-22,4.8962749801686705e-05,2.285768341171092e-05
4.281930411903417e-22,4.909518744264378e-05,2.2919510365488063e-05
4.952987659348368e-22,4.922679148845225e-05,2.2980948165182206e-05
5.721964408544097e-22,4.935757332361176e-05,2.3042002125512996e-05
6.602105318042588e-22,4.948754408224939e-05,2.3102677444316606e-05
7.608307076165333e-22,4.961671465565759e-05,2.316297920606472e-05
8.757307252539287e-22,4.974509569954534e-05,2.3222912385249646e-05
1.0067892788129924e-21,4.9872697641015506e-05,2.328248184964162e-05
1.1561129964434651e-21,4.999953068528089e-05,2.3341692363424116e-05
1.3260617846179547e-21,5.012560482213096e-05,2.340054859021276e-05
1.5192767356797273e-21,5.025092983216006e-05,2.345905509596289e-05
1.73871083228605e-21,5.0375515292768034e-05,2.3517216351770895e-05
1.9876627013245895e-21,5.049937058394314e-05,2.3575036736573883e-05
2.269813690189333e-21,5.062250489383685e-05,2.363252053975221e-05
2.5892685600423966e-21,5.074492722413933e-05,2.3689671963638978e-05
2.9506001139461016e-21,5.086664639526478e-05,2.374649512594073e-05
3.3588981026149736e-21,5.098767105135379e-05,2.3802994062072762e-05
3.819822777107087e-21,5.110800966510164e-05,2.3859172727413115e-05
4.3396634861470934e-21,5.122767054241882e-05,2.391503499947835e-05
4.925402746053833e-21,5.134666182693153e-05,2.3970584680024488e-05
5.584786243545719e-21,5.14649915043284e-05,2.402582549707628e-05
6.326399266127573e-21,5.158266740655984e-05,2.408076110688758e-05
7.159750091450053e-21,5.169969721589619e-05,2.4135395095835868e-05
8.095360906097021e-21,5.1816088468850206e-05,2.4189730982253414e-05
9.144866865832278e-21,5.19318485599695e-05,2.4243772218197734e-05
1.0321123953565206e-20,5.204698474550406e-05,2.4297522191163724e-05
1.163832633831033e-20,5.216150414695383e-05,2.4350984225739797e-05
1.3112133988383076e-20,5.227541375450108e-05,2.4404161585210275e-05
1.475981134513405e-20,5.238872043033209e-05,2.4457057473106044e-05
1.6600377919856727e-20,5.250143091185251e-05,2.450967503470563e-05
1.865477173626707e-20,5.261355181480036e-05,2.4562017358488453e-05
2.0946026604335073e-20,5.27250896362608e-05,2.4614087477542237e-05
2.3499464278428877e-20,5.283605075758616e-05,2.4665888370926218e-05
2.634290262391293e-20,5.2946441447225086e-05,2.471742296499185e-05
2.950688099170849e-20,5.305626786346411e-05,2.476869413466272e-05
3.3024904080117564e-20,5.316553605708478e-05,2.481970470467496e-05
3.6933705647608335e-20,5.327425197393976e-05,2.487045745077991e-05
4.127353352953735e-20,5.3382421457450656e-05,2.4920955100910156e-05
4.608845750612846e-20,5.349005025103048e-05,2.4971200336310467e-05
5.14267016687318e-20,5.359714400043372e-05,2.5021195792634858e-05
5.734100303667166e-20,5.3703708256036194e-05,2.507094406101096e-05
6.388899828814734e-20,5.380974847504776e-05,2.5120447689072954e-05
7.11336405859406e-20,5.3915270023659724e-05,2.5169709181964082e-05
7.914364860239315e-20,5.402027817912964e-05,2.5218731003309918e-05
8.799398997856728e-20,5.412477813180576e-05,2.5267515576163455e-05
9.776640158996656e-20,5.422877498709274e-05,2.531606528392275e-05
1.0854994913601577e-19,5.43322737673614e-05,2.5364382471222516e-05
1.204416287230328e-19,5.4435279413803696e-05,2.5412469444800046e-05
1.3354701327093553e-19,5.4537796788235485e-05,2.546032847433685e-05
1.479809467428915e-19,5.463983067484841e-05,2.5507961793276476e-05
1.6386828937479967e-19,5.4741385781912685e-05,2.5555371599619465e-05
